"Andare all'estero";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili nel caso si intenda andare all'estero, sia per viaggiare che per trasferirsi</paragraph></section>
";"Andare-all-estero.png|Andare all'estero";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
"Avere un figlio";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni riguardanti l'avere un figlio</paragraph></section>
";"Avere-un-figlio.png|Avere un figlio";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
"Avere una casa";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Qui si trovano le informazioni utili relative all'avere una casa, cosa fare per l'acquisto, per la costruzione o ristrutturazione, ma anche per darla o prenderla in affitto, così come semplicemente in caso di cambio casa</paragraph></section>
";"Avere-una-casa.png|Avere una casa";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
"Avere una famiglia";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni inerenti alla gestione della propria casa</paragraph></section>
";"Avere-una-famiglia.png|Avere una famiglia";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
"Donare il proprio tempo";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili in caso si voglia donare il proprio tempo agli altri</paragraph></section>
";"Donare-il-proprio-tempo.png|Donare il proprio tempo";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
"Fare / subire una denuncia";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";" subire una denuncia";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
"Gestire un'attività";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili per chi intende aprire, modificare, sviluppare o terminare un'attività</paragraph></section>
";"Gestire-un-attivita.png|Gestire un'attività";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
Lavorare;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili per chi è interessato a lavorare</paragraph></section>
";Lavorare.png|Lavorare;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
"Pagare le tasse";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>informazioni utili per chi vuole pagare le tasse e conoscere tutto sui tributi, le imposte i canoni e le tariffe comunali</paragraph></section>
";"Pagare-le-tasse.png|Pagare le tasse";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
Studiare;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili relative allo studio ed alle scuole</paragraph></section>
";Studiare.png|Studiare;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
"
